序号	标段名称	展厅名称	展区名称	展项名称	是否为核心展品	展项编号	展项设备											
							是否通电	电脑	投影		展示屏/电视机	安卓平板	"PLC、
嵌入式板卡"		无软件的按钮	展项电压（V）	展项用电功率（KW）	智能中控终端
								数量	投影数量	"控制代码
（开、关、状态查询）"	电视机数量	数量	数量	预留中控接口	数量			数量
44	标段1	天地探秘	遥望星辰	宇宙的命运？	否	ZP_1_044	是	1	无	无	2	无	1		无	220V	2KW	1
45	标段1	天地探秘	遥望星辰	宇宙的深渊-黑洞	否	ZP_1_045	是	1	1	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	1	无	1		无	220V	1.5KW	1
46	标段1	天地探秘	遥望星辰	对宇宙的追问	否	ZP_1_046	无	无	无	无	无	无	无		无	220V	1.5KW	
47	标段1	天地探秘	飞向深空	头脑机能训练	否	ZP_1_047	是	1	无	无	1	无	1		无	220V	2KW	1
48	标段1	天地探秘	飞向深空	航天服虚拟穿戴	否	ZP_1_048	是	1	无	无	1	无	无		无	220V	1KW	1
49	标段1	天地探秘	飞向深空	离心机训练	否	ZP_1_049	是	1	无	无	1	无	1		无	380V	7.5KW	1
50	标段1	天地探秘	飞向深空	观察测试	否	ZP_1_050	是	1	无	无	无	无	无		无	220V	0.6KW	1
51	标段1	天地探秘	飞向深空	深度知觉测试	否	ZP_1_051	是	1	无	无	1	无	1		无	220V	0.6KW	1
52	标段1	天地探秘	飞向深空	听觉测试	否	ZP_1_052	是	1	无	无	1	无	1		无	220V	0.6KW	1
53	标段1	天地探秘	飞向深空	眼手配合测试	否	ZP_1_053	是	1	无	无	1	无	1		无	220V	0.6KW	1
54	标段1	天地探秘	飞向深空	余光测试	否	ZP_1_054	是	1	无	无	1	无	1		无	220V	0.6KW	1
55	标段1	天地探秘	飞向深空	三大宇宙速度	否	ZP_1_055	是	1	无	无	1	无	1		无	220V	2.0KW	1
56	标段1	天地探秘	飞向深空	箭指长空	是	ZP_1_056	是	2	无	无	1	无	无		无	380V	25KW	1
57	标段1	天地探秘	飞向深空	神舟飞天	是	ZP_1_057	是	2	无	无	1	无	无		无	220V	5KW	1
58	标段1	天地探秘	飞向深空	空间站交会对接	否	ZP_1_058	是	1	无	无	1	无	无		无	220V	1.5KW	1
59	标段1	天地探秘	飞向深空	中国航天的“天字辈”	否	ZP_1_059	是	1	无	无	1	无	1		无	220V	2KW	1
60	标段1	天地探秘	飞向深空	“天和”号核心舱	是	ZP_1_060	是	1	3	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	1		无	220V	3.5KW	1
61	标段1	天地探秘	飞向深空	空间站机械臂	是	ZP_1_061	是	2	无	无	2	无	无		无	220V	3.5KW	1
62	标段1	天地探秘	飞向深空	 核心舱工作区	否	ZP_1_062	是	3	无	无	3	无	1		无	220V	1.5KW	2
63	标段1	天地探秘	飞向深空	核心舱生活区	否	ZP_1_063	是	0	无	无	3	无	无		无	220V	1.5KW	
64	标段1	天地探秘	飞向深空	壮丽山河（高分观测卫星画廊）	否	ZP_1_064	是	1	无	无	4	无	无		无	220V	1.2KW	1
65	标段1	天地探秘	飞向深空	高精度定位（北斗卫星定位体验）	是	ZP_1_065	是	2	无	无	1	无	无		无	220V	3.5KW	1
66	标段1	天地探秘	飞向深空	“嫦娥”绕月-变轨飞行	否	ZP_1_066	是	0	无	无	无	无	无		无	220V	1.5KW	
67	标段1	天地探秘	飞向深空	谁先到达月球	否	ZP_1_067	是	2	无	无	2	无	无		无	220V	1.5KW	1
68	标段1	天地探秘	飞向深空	“玉兔”探月-月球车互动	是	ZP_1_068	是	1	1	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	无		无	220V	1.2KW	1
69	标段1	天地探秘	飞向深空	安徽“智造”助力“嫦娥”探月	否	ZP_1_069	是	0	无	无	1	无	无		无	220V	0.3KW	
70	标段1	天地探秘	飞向深空	“嫦娥”采样归来	否	ZP_1_070	是	1	无	无	2	无	无		无	220V	1.5KW	1
71	标段1	天地探秘	飞向深空	我是月球科研站设计师	否	ZP_1_071	是	1	无	无	5	无	无		无	220V	2.0KW	1
72	标段1	天地探秘	飞向深空	漫步火星	否	ZP_1_072	是	2	4	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	无		无	220V	4.5KW	1
73	标段1	天地探秘	飞向深空	探索生命的痕迹	是	ZP_1_073	是	1	无	无	9	无	1		无	220V	5.5KW	1
74	标段1	天地探秘	飞向深空	航天改变生活	否	ZP_1_074	是	0	无	无	无	无	无		无	220V	2.2KW	
75	标段1	天地探秘	飞向深空	勇探前沿	否	ZP_1_075	是	1	无	无	5	无	无		无	220V	1.8KW	1
76	标段1	天地探秘	飞向深空	飞向太空（模拟驾驶宇宙飞船）	是	ZP_1_076	是	1	无	无	无	无	无		无	380V	45KW	1
77	标段1	天地探秘	飞向深空	向未来探问	否	ZP_1_077	是	1	无	无	无	无	1		无	220V	4.5KW	1
								87	34	0	77	0	37	0	5	0	0	69
																		
